payoff,regime,greek,method,exact,bias,sd,rmse,relative_rmse,seconds_per_estimate,efficiency
call,atm,delta,fd_independent,0.63683065117561899,0.0050555143455141005,0.040591882416463311,0.040905490382217427,0.064232917034856896,0.0043483289999999997,137440.39581837412
call,atm,delta,fd_crn,0.63683065117561899,-0.00053979926845826309,0.0022111004674881508,0.0022760379011682549,0.0035740080929939273,0.0029007989999999999,66546218.772061117
call,atm,delta,pathwise,0.63683065117561899,-0.00040058260992892336,0.0022015406351650131,0.0022376880023051108,0.0035137881604383123,0.0022456709999999999,88931333.123372212
call,atm,delta,likelihood_ratio,0.63683065117561899,-0.00077262766190122623,0.0064697140930042082,0.0065156852248364648,0.010231425282071783,0.0022863990000000002,10302148.081400327
call,atm,gamma,fd_independent,0.018762017345846895,-0.0046152684446501054,0.14944044647095153,0.14951169768367126,7.9688497738632957,0.0065091350000000001,6872.6839911620946
call,atm,gamma,fd_crn,0.018762017345846895,9.4685797901065266e-05,0.00040766647017316689,0.00041851804169905382,0.022306665321983391,0.003501203,1630625910.7792325
call,atm,gamma,likelihood_ratio,0.018762017345846895,-0.00010608643153680805,0.00067657289542983961,0.00068483955331634469,0.036501381524835799,0.0022998129999999999,927106881.76768684
call,atm,gamma,mixed,0.018762017345846895,-1.8953092765290613e-05,0.00015304798443309154,0.00015421707189673114,0.008219642325981975,0.0022660079999999999,18555542463.740417
digital,atm,delta,fd_independent,0.018762017345846895,-4.9737886339572268e-05,0.0012069385471896637,0.0012079629605372111,0.064383426273966329,0.0043435959999999999,157776871.3134076
digital,atm,delta,fd_crn,0.018762017345846895,8.951164508291462e-05,0.00037001859059892448,0.00038069159695777917,0.020290547116568355,0.0031251999999999999,2207880699.1035137
digital,atm,delta,pathwise,0.018762017345846895,-0.018762017345846895,0,0.018762017345846895,1,0.0017365519999999999,1635886.3973375252
digital,atm,delta,likelihood_ratio,0.018762017345846895,-1.5232642245573136e-05,0.0001062718202236841,0.0001073579673961679,0.0057220908294241795,0.0024300900000000002,35703359334.722824
digital,atm,gamma,fd_independent,-0.00032833530355232067,-0.00092808554999905567,0.0040728266185314438,0.0041772310748551273,12.722454849237618,0.0069819560000000001,8208161.4882488213
digital,atm,gamma,fd_crn,-0.00032833530355232067,-0.00014293591191334053,0.0007398270849909884,0.00075350832152057976,2.2949354314575166,0.0037748769999999998,466574596.33418959
digital,atm,gamma,likelihood_ratio,-0.00032833530355232067,-2.6070226830674035e-07,9.6743798709568653e-06,9.6778918964966573e-06,0.02947563600925562,0.0024926449999999999,4283295486209.0771
digital,atm,gamma,mixed,-0.00032833530355232067,0.00032833530355232067,0,0.00032833530355232067,1,0.0018156509999999999,5108959537.9859629
call,otm,delta,fd_independent,0.046739420414998102,0.00027253314503817433,0.0097891538391693851,0.0097929468089063519,0.20952221319723333,0.0034309620000000001,3039186.1455370188
call,otm,delta,fd_crn,0.046739420414998102,-0.00011492570318248629,0.0012723049842681561,0.0012774849863092645,0.027332067342010415,0.0023872569999999998,256678335.88683629
call,otm,delta,pathwise,0.046739420414998102,-0.00015353240662803469,0.0013015050650255135,0.0013105295243419975,0.028039062374026889,0.0018566399999999999,313601895.02981496
call,otm,delta,likelihood_ratio,0.046739420414998102,-0.00045785774305898835,0.0020577691496681864,0.0021080909814818719,0.045103062099704848,0.001789037,125777215.75490335
call,otm,gamma,fd_independent,0.0048860000728631805,-0.0012506584686588838,0.030686781849987351,0.030712256949204195,6.285766780843888,0.0048883249999999998,216878.4808921045
call,otm,gamma,fd_crn,0.0048860000728631805,-3.7612651466078367e-05,0.00031920322487125719,0.00032141159020564127,0.065782150104900655,0.0031015219999999998,3121059634.688201
call,otm,gamma,likelihood_ratio,0.0048860000728631805,-6.7269315928921054e-05,0.00025924861243695722,0.00026783391106436212,0.054816599891578041,0.001888591,7381267725.9250269
call,otm,gamma,mixed,0.0048860000728631805,-2.0692436713204768e-05,0.00014537942974930529,0.00014684466463362969,0.03005416750793849,0.001985765,23353705792.452435
digital,otm,delta,fd_independent,0.003257333381908787,0.00014407455339149333,0.00050124552514981316,0.00052154055778785824,0.16011273536951787,0.0034542399999999999,1064317778.5235331
digital,otm,delta,fd_crn,0.003257333381908787,-1.6039728667580945e-05,0.00017256570521475658,0.0001733095367023866,0.053205956032915412,0.002420639,13753874312.563913
digital,otm,delta,pathwise,0.003257333381908787,-0.003257333381908787,0,0.003257333381908787,1,0.001754666,53713211.436729223
digital,otm,delta,likelihood_ratio,0.003257333381908787,-1.1766122232596734e-05,9.2911006239232254e-05,9.3653065688097261e-05,0.028751452402215234,0.0018296079999999999,62315768132.950371
digital,otm,gamma,fd_independent,0.000273180423776591,-0.00010036585872132868,0.0018652456332896325,0.0018679439440472811,6.8377664776407974,0.0050631499999999998,56604574.194272898
digital,otm,gamma,fd_crn,0.000273180423776591,-1.463894849706586e-05,0.0002692926590422198,0.00026969025756806453,0.98722395199379021,0.002853501,4818273572.7469711
digital,otm,gamma,likelihood_ratio,0.000273180423776591,-1.4265824190655137e-06,8.7572197366246811e-06,8.8726565871736324e-06,0.032479108365501906,0.0018855670000000001,6736753953211.1152
digital,otm,gamma,mixed,0.000273180423776591,-0.000273180423776591,0,0.000273180423776591,1,0.0018069519999999999,7415735565.8488865
call,short,delta,fd_independent,0.51935556926624071,-0.00053248909389969068,0.0048710008596434878,0.0049000197968752856,0.0094348074553203751,0.0045302859999999997,9193454.0660460778
call,short,delta,fd_crn,0.51935556926624071,-0.0011134208988539118,0.0016427634519806517,0.0019845346701854419,0.0038211483377163838,0.0034587490000000001,73411411.152521312
