payoff,greek,method,h,mean,sd,bias,rmse,exact
call,delta,fd_independent,0.0001,1.2096688152964261,4.0333410892993786,0.57283816412080713,4.0738168717928396,0.63683065117561899
call,delta,fd_crn,0.0001,0.63642608159674197,0.0022033955098444539,-0.00040456957887702316,0.0022402295232755577,0.63683065117561899
call,delta,fd_independent,0.00017782794100389227,0.95870687484208605,2.2681868315346843,0.32187622366646707,2.2909115666278206,0.63683065117561899
call,delta,fd_crn,0.00017782794100389227,0.63642279348310626,0.0022059560170647752,-0.0004078576925127253,0.0022433434526541161,0.63683065117561899
call,delta,fd_independent,0.00031622776601683794,0.81758105583546448,1.2755693033182705,0.18075040465984549,1.2883119794337687,0.63683065117561899
call,delta,fd_crn,0.00031622776601683794,0.63642119060251023,0.0022115077410345915,-0.00040946057310875528,0.0022490941397786068,0.63683065117561899
call,delta,fd_independent,0.0005623413251903491,0.7382240166290468,0.71738152560039048,0.10139336545342781,0.72451146839143687,0.63683065117561899
call,delta,fd_crn,0.0005623413251903491,0.63642412153830574,0.0022124414858446235,-0.00040652963731324654,0.0022494807565970431,0.63683065117561899
call,delta,fd_independent,0.001,0.69360321428391414,0.40349658784988723,0.056772563108295149,0.40747100550638832,0.63683065117561899
call,delta,fd_crn,0.001,0.63643072777814613,0.0022148650731239729,-0.00039992339747285666,0.0022506812337580581,0.63683065117561899
call,delta,fd_independent,0.0017782794100389228,0.66850651426599428,0.2269956186477973,0.031675863090375289,0.229195050530801,0.63683065117561899
call,delta,fd_crn,0.0017782794100389228,0.63642858916878309,0.0022227135246107961,-0.00040206200683590154,0.0022587849100409408,0.63683065117561899
call,delta,fd_independent,0.0031622776601683794,0.65437480687827898,0.12775591619548135,0.017544155702659991,0.12895492050428331,0.63683065117561899
call,delta,fd_crn,0.0031622776601683794,0.6364072723060934,0.0022331325313572235,-0.00042337886952559245,0.0022729123541761764,0.63683065117561899
call,delta,fd_independent,0.005623413251903491,0.64641459694188397,0.071957286903217565,0.0095839457662649785,0.072592721087741813,0.63683065117561899
call,delta,fd_crn,0.005623413251903491,0.63636679552607289,0.0022371188992559299,-0.00046385564954609659,0.002284701957154126,0.63683065117561899
call,delta,fd_independent,0.01,0.64188616552113309,0.040591882416463311,0.0050555143455141005,0.040905490382217427,0.63683065117561899
call,delta,fd_crn,0.01,0.63629085190716073,0.0022111004674881508,-0.00053979926845826309,0.0022760379011682549,0.63683065117561899
call,delta,fd_independent,0.017782794100389229,0.63919248574616394,0.022954875887779121,0.0023618345705449517,0.023076060962867222,0.63683065117561899
call,delta,fd_crn,0.017782794100389229,0.63608736838333124,0.0021681462606454737,-0.00074328279228774718,0.0022920138561671089,0.63683065117561899
call,delta,fd_independent,0.031622776601683791,0.63715863863484645,0.013105565368390902,0.00032798745922746342,0.013109668927878288,0.63683065117561899
call,delta,fd_crn,0.031622776601683791,0.63547185909374038,0.0021051174886892142,-0.0013587920818786126,0.0025055609278086212,0.63683065117561899
call,delta,fd_independent,0.056234132519034911,0.63452566609149785,0.0076372770525741131,-0.0023049850841211361,0.0079775282522718798,0.63683065117561899
call,delta,fd_crn,0.056234132519034911,0.63363589811518117,0.0020296090931627158,-0.003194753060437816,0.0037849385976823423,0.63683065117561899
call,delta,fd_independent,0.10000000000000001,0.62855304761252584,0.0045901578520445322,-0.0082776035630931499,0.0094651080212757466,0.63683065117561899
call,delta,fd_crn,0.10000000000000001,0.62811796349956117,0.001969563008542387,-0.0087126876760578176,0.0089325307156006076,0.63683065117561899
call,delta,fd_independent,0.17782794100389229,0.61281849344872508,0.002916749489819332,-0.024012157726893912,0.024188657389106829,0.63683065117561899
call,delta,fd_crn,0.17782794100389229,0.61264745509139307,0.0018759198758573181,-0.024183196084225922,0.024255845650662369,0.63683065117561899
call,delta,fd_independent,0.31622776601683794,0.57943084950333679,0.0020018030841598478,-0.057399801672282202,0.057434697244828255,0.63683065117561899
call,delta,fd_crn,0.31622776601683794,0.57938784345586958,0.0015349268881042224,-0.057442807719749411,0.057463311419373733,0.63683065117561899
call,delta,pathwise,nan,0.63643006856569007,0.0022015406351650131,-0.00040058260992892336,0.0022376880023051108,0.63683065117561899
call,delta,likelihood_ratio,nan,0.63605802351371776,0.0064697140930042082,-0.00077262766190122623,0.0065156852248364648,0.63683065117561899
call,gamma,fd_independent,0.0001,-46.885791541996497,1496.788633421083,-46.904553559342347,1497.5233721992972,0.018762017345846895
call,gamma,fd_crn,0.0001,0.019169784603131866,0.0048394716165566318,0.00040776725728497096,0.004856620189346802,0.018762017345846895
call,gamma,fd_independent,0.00017782794100389227,-14.815582563124202,473.32012943581407,-14.834344580470049,473.55253426443397,0.018762017345846895
call,gamma,fd_crn,0.00017782794100389227,0.018969746224438661,0.0036276282074103354,0.00020772887859176609,0.0036335709292925761,0.018762017345846895
call,gamma,fd_independent,0.00031622776601683794,-4.6731230745843213,149.6735758845179,-4.6918850919301684,149.74709714640352,0.018762017345846895
call,gamma,fd_crn,0.00031622776601683794,0.019010874400904848,0.0029714074689527973,0.00024885705505795289,0.0029818102187095319,0.018762017345846895
call,gamma,fd_independent,0.0005623413251903491,-1.4653740950355749,47.329088418404453,-1.4841361123814218,47.352352322954566,0.018762017345846895
call,gamma,fd_crn,0.0005623413251903491,0.018671884810699174,0.0023051788210903669,-9.0132535147720988e-05,0.0023069402400356471,0.018762017345846895
call,gamma,fd_independent,0.001,-0.45069395886084335,14.965704794102756,-0.46945597620669022,14.973066115456325,0.018762017345846895
call,gamma,fd_crn,0.001,0.018687262959306703,0.0016570618869204492,-7.4754386540192008e-05,0.0016587472126250462,0.018762017345846895
call,gamma,fd_independent,0.0017782794100389228,-0.12959516597642826,4.7319754612142013,-0.14835718332227515,4.7343005417248989,0.018762017345846895
call,gamma,fd_crn,0.0017782794100389228,0.018880092245930097,0.0011875627557590179,0.00011807490008320168,0.0011934181919577105,0.018762017345846895
call,gamma,fd_independent,0.0031622776601683794,-0.028066255202647498,1.4960580694155508,-0.046828272548494393,1.4967907783565682,0.018762017345846895
call,gamma,fd_crn,0.0031622776601683794,0.018907000401745831,0.00079073634357947596,0.00014498305589893609,0.00080391793832158831,0.018762017345846895
call,gamma,fd_independent,0.005623413251903491,0.0040425733163500198,0.47288068685840018,-0.014719444029496875,0.4731097188139447,0.018762017345846895
call,gamma,fd_crn,0.005623413251903491,0.018858679723936209,0.00053160287655387652,9.666237808931416e-05,0.00054031956627373552,0.018762017345846895
call,gamma,fd_independent,0.01,0.01414674890119679,0.14944044647095153,-0.0046152684446501054,0.14951169768367126,0.018762017345846895
call,gamma,fd_crn,0.01,0.01885670314374796,0.00040766647017316689,9.4685797901065266e-05,0.00041851804169905382,0.018762017345846895
call,gamma,fd_independent,0.017782794100389229,0.017304352952833953,0.047221510397329899,-0.0014576643930129425,0.047244003108201926,0.018762017345846895
call,gamma,fd_crn,0.017782794100389229,0.018824022170291953,0.00032001071140263382,6.2004824445058282e-05,0.00032596235007571392,0.018762017345846895
call,gamma,fd_independent,0.031622776601683791,0.018294021083374717,0.014904418093393901,-0.00046799626247217771,0.014911763785829476,0.018762017345846895
call,gamma,fd_crn,0.031622776601683791,0.018770631243860959,0.00023892859584460436,8.6138980140634813e-06,0.00023908382034606811,0.018762017345846895
call,gamma,fd_independent,0.056234132519034911,0.018560804665402549,0.0047158796057254621,-0.00020121268044434593,0.0047201702298189348,0.018762017345846895
call,gamma,fd_crn,0.056234132519034911,0.018708536881533098,0.00015990796232140061,-5.3480464313797327e-05,0.00016861410521365591,0.018762017345846895
