payoff,greek,method,paths,best_h,bias,sd,rmse,exact
call,delta,fd_independent,256,0.17782794100389229,-0.027636253579030656,0.047400153797659841,0.054868361483885152,0.63683065117561899
call,delta,fd_independent,512,0.17782794100389229,-0.021261027766224849,0.030831884531072953,0.037451787746562909,0.63683065117561899
call,delta,fd_independent,1024,0.10000000000000001,-0.0085804605143163792,0.027722468017162889,0.029019985106825293,0.63683065117561899
call,delta,fd_independent,2048,0.10000000000000001,-0.0078658946538853192,0.02104706383610018,0.022468893938663238,0.63683065117561899
call,delta,fd_independent,4096,0.10000000000000001,-0.01042341825870996,0.019245394089839461,0.02188681890703251,0.63683065117561899
call,delta,fd_independent,8192,0.10000000000000001,-0.008577828117675379,0.016054764936519424,0.018202599055719377,0.63683065117561899
call,delta,fd_independent,16384,0.10000000000000001,-0.0091584010787767456,0.0097468756972176052,0.01337452414767532,0.63683065117561899
call,delta,fd_independent,32768,0.10000000000000001,-0.0082278917961309261,0.007371830614834856,0.011047266178682175,0.63683065117561899
call,delta,fd_independent,65536,0.056234132519034911,-0.0023049850841211361,0.0076372770525741131,0.0079775282522718798,0.63683065117561899
call,delta,fd_independent,131072,0.056234132519034911,-0.0024083466778735962,0.0043165311281413155,0.0049429317920681171,0.63683065117561899
call,delta,fd_independent,262144,0.056234132519034911,-0.0023599028799525801,0.0034471580136794171,0.0041775638803114318,0.63683065117561899
call,delta,fd_crn,256,0.10000000000000001,-0.015827604871690992,0.034628609685318529,0.038074317915262945,0.63683065117561899
call,delta,fd_crn,512,0.056234132519034911,-0.0055737624918427153,0.021418445904177501,0.022131801853117399,0.63683065117561899
call,delta,fd_crn,1024,0.056234132519034911,-0.0038553958671023736,0.018147215746219719,0.01855223751012031,0.63683065117561899
call,delta,fd_crn,2048,0.056234132519034911,-0.0037279629131360403,0.013182682298601619,0.013699664961873418,0.63683065117561899
call,delta,fd_crn,4096,0.0005623413251903491,-0.0019814421372846835,0.0090789401829290736,0.0092926458981611639,0.63683065117561899
call,delta,fd_crn,8192,0.0005623413251903491,-0.0017989037804994057,0.0068317895640505454,0.0070646587645097902,0.63683065117561899
call,delta,fd_crn,16384,0.00031622776601683794,-0.00021308870997371887,0.0046219524714617944,0.0046268619437768027,0.63683065117561899
call,delta,fd_crn,32768,0.01,-0.0008077157832866444,0.0032175481779617766,0.0033173816578855541,0.63683065117561899
call,delta,fd_crn,65536,0.0001,-0.00040456957887702316,0.0022033955098444539,0.0022402295232755577,0.63683065117561899
call,delta,fd_crn,131072,0.0001,-0.00056405719149144051,0.0015198882281656464,0.0016211788122812731,0.63683065117561899
call,delta,fd_crn,262144,0.0001,-0.00041670080569278234,0.00092804378579421348,0.0010173027227999884,0.63683065117561899
call,delta,pathwise,256,nan,-0.010701389723583699,0.038788206761935076,0.040237354856186174,0.63683065117561899
call,delta,pathwise,512,nan,-0.003871491843695285,0.023362319857558211,0.023680929842864233,0.63683065117561899
call,delta,pathwise,1024,nan,-0.0016561847196200352,0.019205381177696077,0.019276659824930917,0.63683065117561899
call,delta,pathwise,2048,nan,-0.00099939375009028275,0.014480662585884506,0.014515108569830088,0.63683065117561899
call,delta,pathwise,4096,nan,-0.0020204593611420352,0.0090764519737648753,0.0092986147603869879,0.63683065117561899
call,delta,pathwise,8192,nan,-0.0017990884113181504,0.0068721859258507609,0.0071037777633594749,0.63683065117561899
call,delta,pathwise,16384,nan,-0.0002163647567150484,0.0046308955541092276,0.0046359472970491124,0.63683065117561899
call,delta,pathwise,32768,nan,-0.00067895030986475646,0.0032751036264561596,0.0033447387472404682,0.63683065117561899
call,delta,pathwise,65536,nan,-0.00040058260992892336,0.0022015406351650131,0.0022376880023051108,0.63683065117561899
call,delta,pathwise,131072,nan,-0.00056493073426044926,0.001521511366994011,0.0016230044899519023,0.63683065117561899
call,delta,pathwise,262144,nan,-0.00041793693406400045,0.00092834997924624071,0.0010180888786453335,0.63683065117561899
call,delta,likelihood_ratio,256,nan,-0.0055661786033098792,0.10184407137758356,0.10199606472313665,0.63683065117561899
call,delta,likelihood_ratio,512,nan,0.0095182870707101186,0.067576666110066713,0.068243707338566287,0.63683065117561899
call,delta,likelihood_ratio,1024,nan,0.011208043095286335,0.050391414937159873,0.051622814039868209,0.63683065117561899
call,delta,likelihood_ratio,2048,nan,0.0050907483490894023,0.036143650734660249,0.036500400096202541,0.63683065117561899
call,delta,likelihood_ratio,4096,nan,0.0021088847339060246,0.024573846402831907,0.024664170812149281,0.63683065117561899
call,delta,likelihood_ratio,8192,nan,0.0017140752386420877,0.017061938551844652,0.01714782205035522,0.63683065117561899
call,delta,likelihood_ratio,16384,nan,0.0012814998499361963,0.011829282450648218,0.011898494239297694,0.63683065117561899
call,delta,likelihood_ratio,32768,nan,-0.00068927503794036227,0.0093155330560362876,0.0093409986723065365,0.63683065117561899
call,delta,likelihood_ratio,65536,nan,-0.00077262766190122623,0.0064697140930042082,0.0065156852248364648,0.63683065117561899
call,delta,likelihood_ratio,131072,nan,-0.00045993921282894146,0.0045842722821163384,0.0046072873185940824,0.63683065117561899
call,delta,likelihood_ratio,262144,nan,-0.00078695510992721207,0.0030949916806397217,0.0031934733204255269,0.63683065117561899
call,gamma,fd_independent,256,0.31622776601683794,-0.0030095869200907274,0.0021382934704965335,0.0036918711239084852,0.018762017345846895
call,gamma,fd_independent,512,0.31622776601683794,-0.0029747425802746606,0.001759012790077968,0.0034558963257825055,0.018762017345846895
call,gamma,fd_independent,1024,0.31622776601683794,-0.0025442765857896718,0.0012360018620789347,0.0028286116644142129,0.018762017345846895
call,gamma,fd_independent,2048,0.31622776601683794,-0.002270434140348089,0.00080384956423743014,0.0024085359261557366,0.018762017345846895
call,gamma,fd_independent,4096,0.17782794100389229,-0.0011275072760985223,0.0022418977722933556,0.0025094577659464648,0.018762017345846895
call,gamma,fd_independent,8192,0.17782794100389229,-0.001032927071032641,0.0013789683680866245,0.0017229312505888212,0.018762017345846895
call,gamma,fd_independent,16384,0.17782794100389229,-0.00096306483473344168,0.00097153003997365759,0.0013679782507303865,0.018762017345846895
call,gamma,fd_independent,32768,0.17782794100389229,-0.00073158239644375775,0.00066874145451977873,0.00099117502782284663,0.018762017345846895
call,gamma,fd_independent,65536,0.17782794100389229,-0.00076528531452569118,0.00049209666701549169,0.00090984654877426547,0.018762017345846895
call,gamma,fd_independent,131072,0.17782794100389229,-0.00068173441141294519,0.00034849820627001174,0.00076564535359262156,0.018762017345846895
call,gamma,fd_independent,262144,0.17782794100389229,-0.00069632189219604942,0.00024536468452637415,0.00073828721102577261,0.018762017345846895
call,gamma,fd_crn,256,0.17782794100389229,-0.001064426540858119,0.001421889469815345,0.0017761682142339288,0.018762017345846895
