problem,method,paths,mean,sd_single_estimate
atm_call,pseudo_random,64,10.070188836744704,1.5864142384236419
atm_call,pseudo_random,128,10.309142365848478,1.2109707195794961
atm_call,pseudo_random,256,10.31341353003728,0.95316446767853802
atm_call,pseudo_random,512,10.450398642950708,0.57750962984265897
atm_call,pseudo_random,1024,10.501318229537349,0.43726751537892283
atm_call,pseudo_random,2048,10.451866961821453,0.3415694847543686
atm_call,pseudo_random,4096,10.413658517662638,0.21783672580630567
atm_call,pseudo_random,8192,10.429772159229952,0.17171677914614325
atm_call,pseudo_random,16384,10.445269457153124,0.11746597891559489
atm_call,pseudo_random,32768,10.447352908731645,0.079451408427329048
atm_call,pseudo_random,65536,10.445385638372036,0.049593781774362578
digital_k130,pseudo_random,64,0.11170443192989339,0.03945652834425601
digital_k130,pseudo_random,128,0.11182054880300141,0.022720130856797638
digital_k130,pseudo_random,256,0.11437512001137735,0.019341219142526993
digital_k130,pseudo_random,512,0.11518793812313335,0.012491512666504896
digital_k130,pseudo_random,1024,0.11716192496596932,0.0094291131884708008
digital_k130,pseudo_random,2048,0.11613138771713583,0.0073205102424893
digital_k130,pseudo_random,4096,0.11555443200388046,0.0047094340918858377
digital_k130,pseudo_random,8192,0.11617493154455127,0.0034817855183049851
digital_k130,pseudo_random,16384,0.1164334730198308,0.0024968862914638832
digital_k130,pseudo_random,32768,0.11661036981870632,0.0016905685135901248
digital_k130,pseudo_random,65536,0.11664506880617802,0.0010399954055648755
asian_12,pseudo_random,64,6.0747578322700164,0.98041198114785622
asian_12,pseudo_random,128,6.1140385271231352,0.65581900440282936
asian_12,pseudo_random,256,6.0704437473677828,0.43198553761176833
asian_12,pseudo_random,512,6.1373504928138631,0.34070382886817707
asian_12,pseudo_random,1024,6.1616660718991536,0.28527066543388235
asian_12,pseudo_random,2048,6.1372253016250795,0.18009587984385986
asian_12,pseudo_random,4096,6.1315546157729921,0.122427480276837
asian_12,pseudo_random,8192,6.1446484978233542,0.088906827463300336
asian_12,pseudo_random,16384,6.1443129198590309,0.063597650241771525
asian_12,pseudo_random,32768,6.1554933406636669,0.040823556085669524
asian_12,pseudo_random,65536,6.1543714186500589,0.031140341085161137
asian_digital_12,pseudo_random,64,0.53088634384976385,0.058408694391779613
asian_digital_12,pseudo_random,128,0.52949294137246761,0.037870119992587693
asian_digital_12,pseudo_random,256,0.52960905824557569,0.023676636154800312
asian_digital_12,pseudo_random,512,0.53143789899702654,0.017642172314726152
asian_digital_12,pseudo_random,1024,0.53227974632705988,0.014483027853800894
asian_digital_12,pseudo_random,2048,0.53150321473815021,0.0093426676188383233
asian_digital_12,pseudo_random,4096,0.53129275290564193,0.0074985663297278292
asian_digital_12,pseudo_random,8192,0.53221805923822096,0.0047553703164366669
asian_digital_12,pseudo_random,16384,0.53182344330226805,0.0035612309675865333
asian_digital_12,pseudo_random,32768,0.53227974632705966,0.0025735602201856097
asian_digital_12,pseudo_random,65536,0.53231648643144147,0.0019059221190840824
atm_call,rqmc,64,10.434377281747759,0.14854481221686949
atm_call,rqmc,128,10.451551532792857,0.087358243686768977
atm_call,rqmc,256,10.443663250179451,0.038405172955796624
atm_call,rqmc,512,10.448897381486926,0.022907291650315569
atm_call,rqmc,1024,10.449853290484441,0.0092072724273880666
atm_call,rqmc,2048,10.449295027572132,0.0040960459838279978
atm_call,rqmc,4096,10.450177452109525,0.0023968128739516618
atm_call,rqmc,8192,10.450630757105122,0.0014350138400294372
atm_call,rqmc,16384,10.450503082748016,0.00068031346234422713
atm_call,rqmc,32768,10.450543589192852,0.00031969664932274191
atm_call,rqmc,65536,10.450567694957691,0.0001443961390527052
digital_k130,rqmc,64,0.11634910685421331,0.0056517028205652761
digital_k130,rqmc,128,0.1161168731079973,0.0036261908779728048
digital_k130,rqmc,256,0.11669745747353727,0.0018393463767800002
digital_k130,rqmc,512,0.11669745747353724,0.00073088213756863658
digital_k130,rqmc,1024,0.11669745747353723,0.00045327385974659837
digital_k130,rqmc,2048,0.11669020016896803,0.00019830731363913259
digital_k130,rqmc,4096,0.11669382882125261,0.00011697764747750269
digital_k130,rqmc,8192,0.11667387123368722,4.7086003954258588e-05
digital_k130,rqmc,16384,0.116672964070616,2.8899332979960854e-05
digital_k130,rqmc,32768,0.11667251048908052,1.0171328450588978e-05
digital_k130,rqmc,65536,0.11667251048908056,6.5774908401005936e-06
asian_12,rqmc,64,6.1728240770521019,0.23829033395475566
asian_12,rqmc,128,6.15968703045578,0.12693067107792402
asian_12,rqmc,256,6.1566810476455087,0.079989030699244401
asian_12,rqmc,512,6.1645835427055804,0.047945461982860593
asian_12,rqmc,1024,6.1621716994368558,0.029343639676823869
asian_12,rqmc,2048,6.1572144965131086,0.018345613770147071
asian_12,rqmc,4096,6.1574043959888058,0.011477300543397156
asian_12,rqmc,8192,6.1564299542422312,0.0084902848383522495
asian_12,rqmc,16384,6.1563992915699348,0.005208822192226425
asian_12,rqmc,32768,6.1565434050091694,0.0025681357386106956
asian_12,rqmc,65536,6.1562649891920502,0.0017974218817050265
asian_digital_12,rqmc,64,0.53111857759597958,0.033312802033787357
asian_digital_12,rqmc,128,0.5286801232607119,0.026043597661307524
asian_digital_12,rqmc,256,0.52902847388003571,0.017497388669951101
asian_digital_12,rqmc,512,0.5291445907531438,0.011920901437585459
asian_digital_12,rqmc,1024,0.53049444940302437,0.0070848211066868077
asian_digital_12,rqmc,2048,0.53196042492601248,0.0046342495679529815
asian_digital_12,rqmc,4096,0.53235957667732137,0.0033304111771678456
asian_digital_12,rqmc,8192,0.5320384409501322,0.0020864454632629958
asian_digital_12,rqmc,16384,0.53198128967664959,0.0015506376066554211
asian_digital_12,rqmc,32768,0.53235504086196572,0.0010764100886808872
asian_digital_12,rqmc,65536,0.53231081666224689,0.0008657655681564055
asian_12,rqmc_bridge,64,6.1553275024924128,0.11240819056405439
asian_12,rqmc_bridge,128,6.1547720686555261,0.062076076218615106
asian_12,rqmc_bridge,256,6.1521383865166639,0.033692095585470809
asian_12,rqmc_bridge,512,6.1571782002869311,0.019135177957323161
asian_12,rqmc_bridge,1024,6.1568548889091934,0.0096021072345116518
asian_12,rqmc_bridge,2048,6.1565618343057888,0.0062234403515174924
asian_12,rqmc_bridge,4096,6.1558689931719641,0.0036584268370987495
asian_12,rqmc_bridge,8192,6.156017187065161,0.0021033518606985054
asian_12,rqmc_bridge,16384,6.1558765763316918,0.0010863552800719613
asian_12,rqmc_bridge,32768,6.1559793990860125,0.00078170936144982635
asian_12,rqmc_bridge,65536,6.1560923897252531,0.0004193036679524929
asian_digital_12,rqmc_bridge,64,0.53297644756570761,0.021976382152115087
asian_digital_12,rqmc_bridge,128,0.53146692821530361,0.015327092132961269
asian_digital_12,rqmc_bridge,256,0.53280227225604559,0.0098335358534790487
asian_digital_12,rqmc_bridge,512,0.53236683398189089,0.0066693797298639987
asian_digital_12,rqmc_bridge,1024,0.53229426093619836,0.0051375272818719071
asian_digital_12,rqmc_bridge,2048,0.53264986886009147,0.0030644125496013803
asian_digital_12,rqmc_bridge,4096,0.53228337497934419,0.0021712607183458021
asian_digital_12,rqmc_bridge,8192,0.53224708845649815,0.0015187026111778831
asian_digital_12,rqmc_bridge,16384,0.53219810165065562,0.0010103639572608242
asian_digital_12,rqmc_bridge,32768,0.53230786838226563,0.00070376850468262329
asian_digital_12,rqmc_bridge,65536,0.53231127024378244,0.00040747366807608246
