problem,method,n0,max_abs_error,n_at_max
european_call_k100,crr,50,0.039892031452932741,50
european_call_k100,crr,100,0.019971909936433718,100
european_call_k100,crr,200,0.0099923123254725965,200
european_call_k100,crr,500,0.0039984357387261582,500
european_call_k100,crr,1000,0.0019994684215642877,1000
european_call_k100,crr,2000,0.00099979672880756709,2000
european_call_k100,crr,5000,0.00039993371377100573,5000
european_call_k100,crr,10000,0.00019996932525678801,10000
european_call_k100,crr_averaged,50,0.0027285567899095753,50
european_call_k100,crr_averaged,100,0.0013004036387904705,100
european_call_k100,crr_averaged,200,0.00063397800089148859,200
european_call_k100,crr_averaged,500,0.00024966464717302017,500
european_call_k100,crr_averaged,1000,0.00012417515704044035,1000
european_call_k100,crr_averaged,2000,6.1923022359522406e-05,2000
european_call_k100,crr_averaged,5000,2.4729712187365749e-05,5000
european_call_k100,crr_averaged,10000,1.2358247900579045e-05,10000
european_call_k100,leisen_reimer,50,0.00013225126361327,51
european_call_k100,leisen_reimer,100,3.423561912896389e-05,101
european_call_k100,leisen_reimer,200,8.711981653419798e-06,201
european_call_k100,leisen_reimer,500,1.4089554785101654e-06,501
european_call_k100,leisen_reimer,1000,3.5351058080834719e-07,1001
european_call_k100,leisen_reimer,2000,8.8531312059103584e-08,2001
european_call_k100,leisen_reimer,5000,1.422238860016023e-08,5005
european_call_k100,leisen_reimer,10000,3.6221798893620871e-09,10013
european_call_k100,bbs,50,0.01012567936908404,50
european_call_k100,bbs,100,0.0050950597325254421,100
european_call_k100,bbs,200,0.0025557595422061041,200
european_call_k100,bbs,500,0.0010243014602941969,500
european_call_k100,bbs,1000,0.00051248555384120209,1000
european_call_k100,bbs,2000,0.00025632666247688007,2000
european_call_k100,bbs,5000,0.00010255078719367816,5000
european_call_k100,bbs,10000,5.1278783210761958e-05,10000
european_call_k100,bbs_richardson,50,0.0013926519714040353,50
european_call_k100,bbs_richardson,100,0.00055266413384558177,102
european_call_k100,bbs_richardson,200,0.0002480659751071812,202
european_call_k100,bbs_richardson,500,9.2242024722466454e-05,502
european_call_k100,bbs_richardson,1000,4.4939635369445341e-05,1002
european_call_k100,bbs_richardson,2000,2.2172819207355587e-05,2002
european_call_k100,bbs_richardson,5000,8.7976569211889455e-06,5002
european_call_k100,bbs_richardson,10000,4.3868143961844908e-06,10002
european_call_k110,crr,50,0.02060776214650506,50
european_call_k110,crr,100,0.017488195262338024,107
european_call_k110,crr,200,0.006966265481203493,206
european_call_k110,crr,500,0.0024197232914140443,506
european_call_k110,crr,1000,0.0018280015629699164,1001
european_call_k110,crr,2000,0.00058009208749254526,2000
european_call_k110,crr,5000,0.00024585111584407571,5007
european_call_k110,crr,10000,0.00011126799538896393,10007
european_call_k110,crr_averaged,50,0.011621951413208542,52
european_call_k110,crr_averaged,100,0.0023477357943963995,101
european_call_k110,crr_averaged,200,0.0015288472509293882,201
european_call_k110,crr_averaged,500,0.00091056706551917443,501
european_call_k110,crr_averaged,1000,0.00015803710789352721,1001
european_call_k110,crr_averaged,2000,0.00023386913267042786,2006
european_call_k110,crr_averaged,5000,8.0496294368792576e-05,5000
european_call_k110,crr_averaged,10000,4.6038501391620912e-05,10000
european_call_k110,leisen_reimer,50,0.00014156706765433569,51
european_call_k110,leisen_reimer,100,3.66443509376424e-05,101
european_call_k110,leisen_reimer,200,9.3245515149220637e-06,201
european_call_k110,leisen_reimer,500,1.5079899338132918e-06,501
