problem,method,n,greek,value,reference,relative_error
european_call_k100,crr,25,delta,0.63745574088985668,0.63683065117561899,0.00098156348643674285
european_call_k100,crr,25,gamma,0.018220766169943798,0.018762017345846895,-0.0288482398201656
european_call_k100,crr,25,theta,-6.2907339587324085,-6.4140275464381968,-0.019222491143533582
european_call_k100,crr,26,delta,0.63846662823168465,0.63683065117561899,0.0025689357964249204
european_call_k100,crr,26,gamma,0.018562858500602259,0.018762017345846895,-0.010615001658588752
european_call_k100,crr,26,theta,-6.3719223813840973,-6.4140275464381968,-0.0065645438453848515
european_call_k100,crr,50,delta,0.6376871123279666,0.63683065117561899,0.0013448805436211408
european_call_k100,crr,50,gamma,0.018658172079211131,0.018762017345846895,-0.0055348667854605571
european_call_k100,crr,50,theta,-6.392085213380172,-6.4140275464381968,-0.0034209913972399475
european_call_k100,crr,51,delta,0.63713091738426297,0.63683065117561899,0.00047150087403879937
european_call_k100,crr,51,gamma,0.018491171812044821,0.018762017345846895,-0.014435842841922786
european_call_k100,crr,51,theta,-6.3523821390366981,-6.4140275464381968,-0.0096110294125150153
european_call_k100,crr,100,delta,0.63726046296232497,0.63683065117561899,0.00067492320903927983
european_call_k100,crr,100,gamma,0.018710020140095953,0.018762017345846895,-0.0027714080417078346
european_call_k100,crr,100,theta,-6.4030439191553157,-6.4140275464381968,-0.0017124384333180309
european_call_k100,crr,101,delta,0.63698074084232026,0.63683065117561899,0.00023568222795833371
european_call_k100,crr,101,gamma,0.018623883745101353,0.018762017345846895,-0.007362406621808093
european_call_k100,crr,101,theta,-6.3826003669259022,-6.4140275464381968,-0.0048997574900885299
european_call_k100,crr,200,delta,0.63704595540019937,0.63683065117561899,0.00033808709455640518
european_call_k100,crr,200,gamma,0.018736000364650004,0.018762017345846895,-0.0013866835701785707
european_call_k100,crr,200,theta,-6.4085326767557405,-6.4140275464381968,-0.00085669567875612529
european_call_k100,crr,201,delta,0.63690567270036846,0.63683065117561899,0.00011780451303811112
european_call_k100,crr,201,gamma,0.018692252236534503,0.018762017345846895,-0.0037184225995737785
european_call_k100,crr,201,theta,-6.3981582934368264,-6.4140275464381968,-0.0024741479338021843
european_call_k100,crr,500,delta,0.63691686885151999,0.63683065117561899,0.00013538556245973332
european_call_k100,crr,500,gamma,0.018751606176676035,0.018762017345846895,-0.00055490670213909077
european_call_k100,crr,500,theta,-6.4118288727277317,-6.4140275464381968,-0.00034279143557558456
european_call_k100,crr,501,delta,0.63686065251575008,0.63683065117561899,4.7110389670645958e-05
european_call_k100,crr,501,gamma,0.018733940975003728,0.018762017345846895,-0.0014964473342937712
